"name" "line" "age" "tonnage" "passengers" "length" "cabin" "passenger_density" "crew"
"50" "Queen_Victoria" "Cunard" 6 90 20 9.64 10.29 45 9
"51" "Magic" "Disney" 15 83.338 17.5 9.64 8.75 47.62 9.45
"52" "Wonder" "Disney" 14 83 17.5 9.64 8.75 47.43 9.45
"53" "Amsterdam" "Holland_American" 13 61 13.8 7.8 6.88 44.2 6
"54" "Eurodam" "Holland_American" 5 86 21.04 9.36 10.22 40.87 8
"55" "Maasdam" "Holland_American" 20 55.451 12.64 7.19 6.32 43.87 5.57
"56" "Noordam" "Holland_American" 29 33.92 12.14 7.04 6.07 27.94 5.3
"57" "Oosterdam" "Holland_American" 10 81.769 18.48 9.59 9.24 44.25 8.42
"58" "Prinsendam" "Holland_American" 25 38 7.49 6.74 3.96 50.73 4.6
"59" "Rotterdam" "Holland_American" 16 59.652 13.2 7.77 6.6 45.19 6.44
"60" "Ryndam" "Holland_American" 19 55.451 12.66 7.19 6.33 43.8 5.88
"61" "Statendam" "Holland_American" 20 55.451 12.66 7.19 6.33 43.8 5.88
"62" "Veendam" "Holland_American" 17 55.451 12.66 7.19 6.33 43.8 5.88
"63" "Volendam" "Holland_American" 14 63 14.4 7.77 7.2 43.75 5.61
"64" "Westerdam" "Holland_American" 27 53.872 14.94 7.98 7.47 36.06 6.12
"65" "Zaandam" "Holland_American" 13 63 14.4 7.77 7.2 43.75 5.31
"66" "Zuiderdam" "Holland_American" 11 85 18.48 9.51 9.24 46 8
"67" "Armonia" "MSC" 12 58.6 15.66 8.24 7.83 37.42 7
"68" "Fantasia" "MSC" 5 133.5 39.59 10.93 16.37 33.72 13.13
"69" "Lirica" "MSC" 10 58.825 15.6 8.23 7.65 37.71 7
"70" "Melody" "MSC" 31 35.143 12.5 6.69 5.32 28.11 5.35
"71" "Musica" "MSC" 7 89.6 25.5 9.61 12.75 35.14 9.87
"72" "Opera" "MSC" 9 59.058 17 7.63 8.5 34.74 7.4
"73" "Rhapsody" "MSC" 36 16.852 9.52 5.41 3.83 17.7 2.97
"74" "Sinfonia" "MSC" 11 58.6 15.66 8.23 7.83 37.42 7.6
"75" "Crown" "Norwegian" 25 34.25 10.52 6.15 5.26 32.56 4.7
"76" "Dawn" "Norwegian" 11 90 22.4 9.65 11.2 40.18 11
"77" "Dream" "Norwegian" 21 50.76 17.48 7.54 8.74 29.04 6.14
"78" "Gem" "Norwegian" 6 93 23.94 9.65 11.97 38.85 11.09
"79" "Jewel" "Norwegian" 8 91 22.44 9.65 11.22 40.55 11
"80" "Majesty" "Norwegian" 21 38 10.56 5.67 5.28 35.98 4.38
"81" "Pride_of_Aloha" "Norwegian" 14 77.104 20.02 8.53 10.01 38.51 8
"82" "Pride_of_America" "Norwegian" 9 81 21.44 9.21 10.72 37.78 10
"83" "Sea" "Norwegian" 25 42 15.04 7.08 7.52 27.93 6.3
"84" "Spirit" "Norwegian" 15 75.338 19.56 8.79 9.83 38.52 13
"85" "Star" "Norwegian" 40 28 11.5 6.74 4 24.35 3.8
"86" "Sun" "Norwegian" 12 77.104 20.02 8.53 10.01 38.51 9.59
"87" "Wind" "Norwegian" 20 50.76 17.48 7.54 8.74 29.04 6.14
"88" "Insignia" "Oceania" 15 30.277 6.84 5.94 3.42 44.26 4
"89" "Nautica" "Oceania" 13 30.277 6.84 5.94 3.42 44.26 4
"90" "Regatta" "Oceania" 15 30.277 6.84 5.94 3.42 44.26 4
"91" "Marco_Polo" "Orient" 48 22.08 8.26 5.78 4.25 26.73 3.5
"92" "Arcadia" "P&O" 9 85 19.68 9.35 9.84 43.19 8.69
"93" "Artemis" "P&O" 29 45 11.78 7.54 5.3 38.2 5.2
"94" "Aurora" "P&O" 13 76 18.74 8.86 9.39 40.55 8.5
"95" "Oceana" "P&O" 10 77 20.16 8.56 9.75 38.19 9
"96" "Oriana" "P&O" 18 69.153 18.82 8.53 9.14 36.74 7.94
"97" "Ventura" "P&O" 5 115 35.74 9 15.32 32.18 12.2
"98" "Caribbean" "Princess" 9 116 26 9.51 13 44.62 11
"99" "Coral" "Princess" 11 91.627 19.74 9.64 9.87 46.42 9
"100" "Crown" "Princess" 7 116 31 9.51 15.57 37.42 12
"101" "Dawn" "Princess" 16 77.499 19.5 8.56 10.5 39.74 9
"102" "Diamond" "Princess" 9 113 26.74 9.51 13.37 42.26 12.38
"103" "Emerald" "Princess" 6 113 37.82 9.51 15.57 29.88 12
"104" "Golden" "Princess" 12 108.865 27.58 9.51 13 39.47 11
"105" "Grand" "Princess" 15 108.806 26 9.51 13 41.85 11.1
"106" "Island" "Princess" 10 91.627 19.74 9.64 9.87 46.42 9
"107" "Pacific" "Princess" 14 30.277 6.86 5.93 3.44 44.14 3.73
"108" "Regal" "Princess" 22 69.845 15.9 8.03 7.95 43.93 6.96
"109" "Royal" "Princess" 29 44.348 12 7.54 6 36.96 5.2
"110" "Saphire" "Princess" 9 113 26.74 9.51 13.37 42.26 12.38
"111" "Sea" "Princess" 8 77.499 19.5 8.56 9.75 39.74 9
"112" "Star" "Princess" 11 108.977 26.02 9.51 13.01 41.88 12
"113" "Sun" "Princess" 18 77.499 19.5 8.56 9.75 39.74 9
"114" "Tahitian" "Princess" 14 30.277 6.88 5.93 3.44 44.01 3.73
"115" "Explorer_II" "Regent_Seven_Seas" 27 12.5 3.94 4.36 0.88 31.73 1.46
"116" "Mariner" "Regent_Seven_Seas" 12 50 7 7.09 3.54 71.43 4.45
"117" "Navigator" "Regent_Seven_Seas" 14 33 4.9 5.6 2.45 67.35 3.24
"118" "Paul_Gauguin" "Regent_Seven_Seas" 16 19.2 3.2 5.13 1.6 60 2.11
"119" "Voyager" "Regent_Seven_Seas" 10 46 7 6.7 1.82 65.71 4.47
"120" "Adventure" "Royal_Caribbean" 12 138 31.14 10.2 15.57 44.32 11.85
"121" "Brilliance" "Royal_Caribbean" 11 90.09 25.01 9.62 10.5 36.02 8.48
"122" "Empress" "Royal_Caribbean" 23 48.563 20.2 6.92 8 24.04 6.71
"123" "Enchantment" "Royal_Caribbean" 16 74.137 19.5 9.16 9.75 38.02 7.6
"124" "Explorer" "Royal_Caribbean" 13 138 31.14 10.2 15.57 44.32 11.76
"125" "Freedom" "Royal_Caribbean" 7 158 43.7 11.12 18 36.16 13.6
"126" "Grandeur" "Royal_Caribbean" 17 74.137 19.5 9.16 9.75 38.02 7.6
"127" "Independence" "Royal_Caribbean" 5 160 36.34 11.12 18.17 44.03 13.6
"128" "Jewel" "Royal_Caribbean" 9 90.09 25.01 9.62 10.94 36.02 8.69
"129" "Legend" "Royal_Caribbean" 18 70 18 8.67 9 38.89 7.2
"130" "Liberty" "Royal_Caribbean" 6 158 43.7 11.25 18 36.16 13.6
"131" "Majesty" "Royal_Caribbean" 21 73.941 27.44 8.8 11.75 26.95 8.22
"132" "Mariner" "Royal_Caribbean" 10 138 31.14 10.2 15.57 44.32 11.85
"133" "Monarch" "Royal_Caribbean" 22 73.941 27.44 8.8 11.77 30.94 8.22
"134" "Navigator" "Royal_Caribbean" 11 138 31.14 10.2 15.57 44.32 11.85
"135" "Oasis" "Royal_Caribbean" 4 220 54 11.82 27 40.74 21
"136" "Radiance" "Royal_Caribbean" 12 90.09 25.01 9.62 10.5 36.02 8.68
"137" "Rhapsody" "Royal_Caribbean" 16 78.491 24.35 9.15 10 32.23 7.65
"138" "Serenade" "Royal_Caribbean" 10 90.09 25.01 9.62 10.5 36.02 8.58
"139" "Sovreign" "Royal_Caribbean" 25 73.192 28.52 8.8 11.38 25.66 8.08
"140" "Splendour" "Royal_Caribbean" 17 70 20.76 8.67 9.02 33.72 7.2
"141" "Vision" "Royal_Caribbean" 15 78.491 24.35 9.15 10 32.23 6.6
"142" "Voyager" "Royal_Caribbean" 14 138 31.14 10.2 15.57 44.32 11.76
"143" "Legend" "Seabourn" 21 10 2.08 4.4 1.04 48.08 1.6
"144" "Pride" "Seabourn" 27 10 2.08 4.4 1.04 48.08 1.6
"145" "Spirit" "Seabourn" 24 10 2.08 4.4 1.04 48.08 1.6
"146" "Cloud" "Silversea" 19 16.8 2.96 5.14 1.48 56.76 2.1
"147" "Shadow" "Silversea" 13 25 3.82 5.97 1.94 65.45 2.95
"148" "Whisper" "Silversea" 12 25 3.88 5.97 1.94 64.43 2.87
"149" "Wind" "Silversea" 19 16.8 2.96 5.14 1.48 56.76 1.97
"150" "Aries" "Star" 22 3.341 0.66 2.8 0.33 50.62 0.59
"151" "Gemini" "Star" 21 19.093 8 5.37 4 23.87 4.7
"152" "Libra" "Star" 12 42 14.8 7.13 7.4 28.38 6.8
"153" "Pisces" "Star" 24 40.053 12.87 5.79 7.76 31.12 7.5
"154" "Taurus" "Star" 22 3.341 0.66 2.79 0.33 50.62 0.59
"155" "Virgo" "Star" 14 76.8 19.6 8.79 9.67 39.18 12
"156" "Spirit" "Windstar" 25 5.35 1.58 4.4 0.74 33.86 0.88
"157" "Star" "Windstar" 27 5.35 1.67 4.4 0.74 32.04 0.88
"158" "Surf" "Windstar" 23 14.745 3.08 6.17 1.56 47.87 1.8
